Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.005,0.005
0.02,-0.005,0.005
0.04,-0.005,0.005
0.06,-0.005,0.005
0.08,-0.005,0.005
0.1,-0.005,0.005
0.12,-0.005,0.005
0.14,-0.005,0.005
0.16,-0.005,0
0.18,-0.005,0.005
0.2,-0.005,0.005
0.22,-0.005,0.005
0.24,-0.005,0.005
0.26,-0.005,0.005
0.28,-0.005,0.005
0.3,-0.005,0.005
0.32,-0.005,0
0.34,-0.005,0.005
0.36,-0.005,0.005
0.38,-0.005,0.005
0.4,-0.005,0.005
0.42,-0.005,0.005
0.44,-0.005,0.005
0.46,-0.005,0.005
0.48,-0.005,0.005
0.5,-0.005,0.005
0.52,-0.005,0.005
0.54,-0.005,0.005
0.56,-0.005,0.005
0.58,-0.005,0.005
0.6,-0.005,0.005
0.62,-0.005,0.005
0.64,-0.005,0.005
0.66,-0.005,0.005
0.68,-0.005,0.005
0.7,-0.005,0.005
0.72,-0.005,0.005
0.74,-0.005,0.005
0.76,0,0.01
0.78,0.05,0.035
0.8,0.015,0.05
0.82,0.015,0.06
0.84,0.03,0.08
0.86,0.035,0.095
0.88,0.03,0.1
0.9,0.08,0.135
0.92,0.075,0.145
0.94,0.09,0.155
0.96,0.105,0.16
0.98,0.13,0.17
1,0.145,0.175
1.02,0.155,0.18
1.04,0.2,0.195
1.06,0.26,0.205
1.08,0.29,0.215
1.1,0.325,0.225
1.12,0.365,0.23
1.14,0.47,0.255
1.16,0.53,0.255
1.18,0.57,0.265
1.2,0.56,0.27
1.22,0.68,0.285
1.24,0.835,0.31
1.26,0.85,0.32
1.28,0.84,0.325
1.3,0.815,0.34
1.32,0.74,0.345
1.34,0.64,0.36
1.36,0.55,0.37
1.38,0.475,0.375
1.4,0.45,0.38
1.42,0.375,0.39
1.44,0.33,0.39
1.46,0.31,0.41
1.48,0.26,0.425
1.5,0.185,0.445
1.52,0.16,0.46
1.54,0.125,0.47
1.56,0.13,0.485
1.58,0.085,0.485
1.6,0.1,0.495
1.62,0.1,0.505
1.64,0.16,0.54
1.66,0.16,0.55
1.68,0.2,0.56
1.7,0.27,0.575
1.72,0.32,0.585
1.74,0.415,0.6
1.76,0.51,0.61
1.78,0.58,0.62
1.8,0.67,0.63
1.82,0.715,0.635
1.84,0.79,0.64
1.86,0.895,0.65
1.88,1.085,0.66
1.9,1.535,0.685
1.92,1.955,0.705
1.94,1.705,0.735
1.96,2.37,0.75
1.98,2.96,0.765
2,3.245,0.78
2.02,3.415,0.79
2.04,3.455,0.805
2.06,3.24,0.82
2.08,2.91,0.83
2.1,2.095,0.85
2.12,1.605,0.86
2.14,1.21,0.875
2.16,0.925,0.895
2.18,0.64,0.915
2.2,0.495,0.93
2.22,0.35,0.945
2.24,0.285,0.955
2.26,0.25,0.965
2.28,0.225,0.98
2.3,0.21,0.985
2.32,0.235,1
2.34,0.415,1.03
2.36,0.56,1.045
2.38,0.755,1.065
2.4,1.03,1.085
2.42,1.16,1.085
2.44,1.26,1.09
2.46,1.705,1.115
2.48,2.12,1.13
2.5,2.495,1.145
2.52,2.94,1.16
2.54,3.185,1.165
2.56,3.57,1.175
2.58,3.95,1.19
2.6,4.765,1.215
2.62,5.265,1.225
2.64,5.96,1.245
2.66,6.625,1.26
2.68,6.82,1.275
2.7,6.915,1.28
2.72,6.545,1.305
2.74,5.98,1.315
2.76,5.1,1.33
2.78,3.735,1.35
2.8,3.005,1.355
2.82,2.485,1.365
2.84,2.04,1.38
2.86,1.505,1.395
2.88,1.105,1.41
2.9,0.865,1.42
2.92,0.685,1.435
2.94,0.555,1.44
2.96,0.48,1.47
2.98,0.455,1.485
3,0.465,1.495
3.02,0.54,1.505
3.04,0.65,1.515
3.06,0.76,1.525
3.08,1.065,1.55
3.1,1.31,1.555
3.12,1.925,1.58
3.14,2.17,1.59
3.16,2.375,1.59
3.18,2.54,1.6
3.2,2.59,1.6
3.22,3.165,1.62
3.24,3.67,1.63
3.26,4.28,1.645
3.28,5.125,1.665
3.3,5.535,1.67
3.32,5.81,1.675
3.34,6.77,1.7
3.36,8.13,1.72
3.38,8.805,1.735
3.4,9.54,1.75
3.42,9.91,1.76
3.44,9.935,1.78
3.46,9.595,1.79
3.48,8.65,1.805
3.5,7.225,1.835
3.52,5.955,1.845
3.54,4.685,1.865
3.56,3.865,1.875
3.58,3.345,1.885
3.6,2.745,1.89
3.62,2.475,1.9
3.64,1.925,1.92
3.66,1.455,1.93
3.68,1.25,1.94
3.7,1.11,1.95
3.72,0.955,1.955
3.74,0.925,1.96
3.76,0.89,1.97
3.78,0.915,1.99
3.8,0.965,1.995
3.82,1.055,2.005
3.84,1.285,2.025
3.86,1.52,2.035
3.88,1.94,2.055
3.9,2.64,2.075
3.92,3.335,2.09
3.94,4.17,2.11
3.96,4.95,2.125
3.98,5.69,2.135
4,6.125,2.145
4.02,6.895,2.16
4.04,7.47,2.17
4.06,8.89,2.19
4.08,10.015,2.205
4.1,10.24,2.225
4.12,10.24,2.24
4.14,10.24,2.255
4.16,10.24,2.28
4.18,10.24,2.295
4.2,10.24,2.315
4.22,10.14,2.325
4.24,9.395,2.345
4.26,7.28,2.37
4.28,4.905,2.4
4.3,3.775,2.415
4.32,3.065,2.43
4.34,2.675,2.435
4.36,2.465,2.445
4.38,2.12,2.465
4.4,1.94,2.475
4.42,1.88,2.49
4.44,1.965,2.51
4.46,2.255,2.53
4.48,2.535,2.535
4.5,2.66,2.545
4.52,2.87,2.55
4.54,3.11,2.555
4.56,3.665,2.575
4.58,4.64,2.595
4.6,5.505,2.615
4.62,7.345,2.64
4.64,9.36,2.665
4.66,10.24,2.685
4.68,10.24,2.7
4.7,10.24,2.705
4.72,10.24,2.725
4.74,10.24,2.735
4.76,10.24,2.75
4.78,10.24,2.775
4.8,10.24,2.79
4.82,10.24,2.81
4.84,10.24,2.83
4.86,10.24,2.845
4.88,10.24,2.855
4.9,10.24,2.86
4.92,9.835,2.875
4.94,8.25,2.9
4.96,6.505,2.925
4.98,4.975,2.955
5,4.11,2.975
5.02,3.935,2.98
5.04,3.8,3.01
5.06,3.81,3.02
5.08,4.22,3.045
5.1,4.745,3.06
5.12,5.59,3.085
5.14,6.75,3.1
5.16,7.85,3.12
5.18,9.72,3.15
5.2,10.24,3.18
5.22,10.24,3.175
5.24,10.24,3.175
5.26,10.24,3.175
5.28,10.24,3.175
5.3,10.24,3.175
5.32,10.24,3.175
5.34,10.24,3.175
5.36,10.24,3.175
5.38,10.24,3.175
5.4,10.24,3.175
5.42,10.24,3.175
5.44,10.24,3.175
5.46,10.24,3.175
5.48,10.24,3.175
5.5,10.24,3.175
5.52,10.24,3.175
5.54,10.24,3.175
5.56,10.24,3.175
5.58,10.24,3.18
5.6,10.24,3.18
5.62,10.24,3.18
5.64,10.24,3.18
5.66,10.24,3.18
5.68,10.24,3.18
5.7,10.24,3.18
5.72,10.24,3.18
5.74,10.24,3.18
5.76,10.24,3.18
5.78,10.24,3.18
5.8,10.24,3.18
5.82,10.24,3.18
5.84,10.24,3.18
5.86,10.24,3.18
5.88,10.24,3.18
5.9,10.24,3.18
5.92,10.24,3.18
5.94,10.24,3.18
5.96,10.24,3.18
5.98,10.24,3.18
6,10.24,3.18
6.02,10.24,3.185
6.04,10.24,3.185
6.06,10.24,3.185
6.08,10.24,3.185
6.1,10.24,3.18
6.12,10.24,3.185
6.14,10.24,3.18
6.16,10.24,3.185
6.18,10.24,3.18
6.2,10.24,3.185
6.22,10.24,3.18
6.24,10.24,3.185
6.26,10.24,3.18
6.28,10.24,3.185
6.3,10.24,3.18
6.32,10.24,3.185
6.34,10.24,3.185
6.36,10.24,3.185
6.38,10.24,3.18
6.4,10.24,3.185
6.42,10.24,3.18
6.44,10.24,3.185
6.46,10.24,3.18
6.48,10.24,3.185
6.5,10.24,3.18
6.52,10.24,3.18
6.54,10.24,3.185
6.56,10.24,3.18
6.58,10.24,3.18
6.6,10.24,3.185
6.62,10.24,3.185
6.64,10.24,3.18
6.66,10.24,3.18
6.68,10.24,3.185
6.7,10.24,3.185
6.72,10.24,3.18
6.74,10.24,3.18
6.76,10.24,3.185
6.78,10.24,3.18
6.8,10.24,3.18
6.82,10.24,3.185
6.84,10.24,3.185
6.86,10.24,3.185
6.88,10.24,3.18
6.9,10.24,3.18
6.92,10.24,3.185
6.94,10.24,3.18
6.96,10.24,3.185
6.98,10.24,3.18
7,10.24,3.18
7.02,10.24,3.185
7.04,10.24,3.18
7.06,10.24,3.18
7.08,10.24,3.18
7.1,10.24,3.18
7.12,10.24,3.185
7.14,10.24,3.18
7.16,10.24,3.185
7.18,10.24,3.18
7.2,10.24,3.185
7.22,10.24,3.18
7.24,10.24,3.18
7.26,10.24,3.18
7.28,10.24,3.185
7.3,10.24,3.18
7.32,10.24,3.18
7.34,10.24,3.18
7.36,10.24,3.185
7.38,10.24,3.185
7.4,10.24,3.185
7.42,10.24,3.18
7.44,10.24,3.185
7.46,10.24,3.185
7.48,10.24,3.185
7.5,10.24,3.18
7.52,10.24,3.18
7.54,10.24,3.185
7.56,10.24,3.185
7.58,10.24,3.185
7.6,10.24,3.185
7.62,10.24,3.185
7.64,10.24,3.18
7.66,10.24,3.18
7.68,10.24,3.18
7.7,10.24,3.18
7.72,10.24,3.185
7.74,10.24,3.185
7.76,10.24,3.18
7.78,10.24,3.185
7.8,10.24,3.18
7.82,10.24,3.18
7.84,10.24,3.18
7.86,10.24,3.18
7.88,10.24,3.185
7.9,10.24,3.18
7.92,10.24,3.185
7.94,10.24,3.18
7.96,10.24,3.185
7.98,10.24,3.18
8,10.24,3.185
8.02,10.24,3.18
8.04,10.24,3.185
8.06,10.24,3.18
8.08,10.24,3.185
8.1,10.24,3.18
