Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.03,0.005
0.02,-0.03,0.005
0.04,-0.03,0
0.06,-0.025,0
0.08,-0.025,0.005
0.1,-0.03,0.005
0.12,-0.025,0.005
0.14,-0.025,0.005
0.16,-0.03,0.005
0.18,-0.025,0.005
0.2,-0.025,0.005
0.22,-0.03,0.005
0.24,-0.025,0.005
0.26,-0.025,0.005
0.28,-0.025,0.005
0.3,-0.025,0.005
0.32,-0.025,0.005
0.34,-0.025,0.005
0.36,-0.025,0.005
0.38,-0.025,0.005
0.4,-0.025,0.005
0.42,-0.025,0.005
0.44,-0.025,0.005
0.46,-0.025,0.005
0.48,-0.025,0
0.5,-0.025,0
0.52,-0.025,0.005
0.54,-0.025,0.005
0.56,-0.025,0.005
0.58,-0.025,0.005
0.6,0.035,0.03
0.62,0.01,0.065
0.64,0,0.075
0.66,0,0.09
0.68,-0.015,0.095
0.7,0.015,0.11
0.72,0.035,0.14
0.74,0.02,0.16
0.76,0.02,0.175
0.78,0.005,0.185
0.8,0.03,0.2
0.82,0.06,0.225
0.84,0.075,0.25
0.86,0.085,0.28
0.88,0.045,0.295
0.9,0.04,0.31
0.92,0.025,0.32
0.94,0.03,0.325
0.96,0.035,0.345
0.98,0.04,0.36
1,0.03,0.37
1.02,0.02,0.375
1.04,0.03,0.385
1.06,0.02,0.395
1.08,0.04,0.41
1.1,0.02,0.415
1.12,0.01,0.415
1.14,0.035,0.43
1.16,0.03,0.44
1.18,0.015,0.45
1.2,0.03,0.46
1.22,0.05,0.49
1.24,0.08,0.51
1.26,0.02,0.54
1.28,-0.065,0.55
1.3,-0.01,0.56
1.32,0.03,0.585
1.34,0.28,0.605
1.36,0.425,0.62
1.38,0.555,0.635
1.4,0.32,0.65
1.42,0.245,0.665
1.44,0.305,0.69
1.46,0.29,0.7
1.48,0.305,0.72
1.5,0.305,0.735
1.52,0.26,0.745
1.54,0.25,0.765
1.56,0.205,0.79
1.58,0.18,0.825
1.6,0.115,0.85
1.62,0.085,0.875
1.64,0.065,0.89
1.66,0.035,0.895
1.68,0.05,0.91
1.7,0.045,0.915
1.72,0.055,0.93
1.74,0.055,0.95
1.76,0.105,0.975
1.78,0.105,1.005
1.8,0.165,1.04
1.82,0.2,1.065
1.84,0.26,1.085
1.86,0.285,1.095
1.88,0.33,1.11
1.9,0.34,1.11
1.92,0.445,1.13
1.94,0.545,1.155
1.96,0.61,1.185
1.98,0.11,1.22
2,0.395,1.24
2.02,0.03,1.25
2.04,-0.045,1.255
2.06,0.105,1.26
2.08,0.345,1.28
2.1,0.295,1.29
2.12,0.185,1.315
2.14,0.14,1.335
2.16,0.12,1.36
2.18,0.07,1.375
2.2,0.055,1.385
2.22,0.075,1.4
2.24,0.045,1.41
2.26,0.055,1.42
2.28,0.055,1.435
2.3,0.045,1.44
2.32,0.12,1.465
2.34,0.14,1.485
2.36,0.15,1.5
2.38,0.17,1.505
2.4,0.245,1.53
2.42,0.25,1.53
2.44,0.37,1.555
2.46,0.535,1.58
2.48,0.63,1.595
2.5,0.805,1.625
2.52,0.86,1.63
2.54,0.975,1.66
2.56,0.965,1.67
2.58,0.95,1.675
2.6,0.93,1.695
2.62,0.76,1.72
2.64,0.59,1.73
2.66,0.425,1.75
2.68,0.355,1.77
2.7,0.23,1.795
2.72,0.2,1.825
2.74,0.135,1.845
2.76,0.115,1.87
2.78,0.105,1.89
2.8,0.07,1.895
2.82,0.135,1.925
2.84,0.13,1.94
2.86,0.165,1.96
2.88,0.22,1.975
2.9,0.295,1.995
2.92,0.335,2
2.94,0.475,2.025
2.96,0.56,2.035
2.98,0.72,2.06
3,0.88,2.075
3.02,1.04,2.095
3.04,1.175,2.11
3.06,1.26,2.12
3.08,1.335,2.135
3.1,1.37,2.15
3.12,1.315,2.165
3.14,1.155,2.185
3.16,1.015,2.2
3.18,0.875,2.215
3.2,0.615,2.235
3.22,0.465,2.255
3.24,0.31,2.29
3.26,0.2,2.305
3.28,0.16,2.33
3.3,0.12,2.34
3.32,0.12,2.36
3.34,0.12,2.38
3.36,0.125,2.4
3.38,0.14,2.415
3.4,0.18,2.435
3.42,0.265,2.445
3.44,0.38,2.47
3.46,0.435,2.48
3.48,0.58,2.5
3.5,0.75,2.52
3.52,0.935,2.54
3.54,1.03,2.55
3.56,1.145,2.56
3.58,1.465,2.59
3.6,1.61,2.605
3.62,1.675,2.615
3.64,1.72,2.635
3.66,1.66,2.65
3.68,1.57,2.655
3.7,1.385,2.675
3.72,1.23,2.685
3.74,0.935,2.705
3.76,0.81,2.72
3.78,0.575,2.74
3.8,0.46,2.75
3.82,0.42,2.76
3.84,0.37,2.78
3.86,0.235,2.795
3.88,0.225,2.81
3.9,0.185,2.83
3.92,0.155,2.84
3.94,0.125,2.85
3.96,0.13,2.865
3.98,0.15,2.88
4,0.21,2.9
4.02,0.275,2.925
4.04,0.33,2.935
4.06,0.485,2.96
4.08,0.61,2.975
4.1,0.655,2.98
4.12,0.795,2.995
4.14,1.08,3.02
4.16,1.365,3.04
4.18,1.545,3.055
4.2,1.625,3.06
4.22,1.81,3.08
4.24,2.015,3.1
4.26,2.04,3.115
4.28,2.005,3.135
4.3,1.835,3.15
4.32,1.58,3.18
4.34,1.31,3.185
4.36,1.335,3.18
4.38,1.35,3.18
4.4,1.35,3.175
4.42,1.35,3.175
4.44,1.35,3.18
4.46,1.35,3.175
4.48,1.345,3.18
4.5,1.345,3.175
4.52,1.345,3.18
4.54,1.345,3.175
4.56,1.345,3.175
4.58,1.345,3.18
4.6,1.345,3.18
4.62,1.345,3.175
4.64,1.345,3.18
4.66,1.34,3.175
4.68,1.34,3.18
4.7,1.34,3.18
4.72,1.31,3.18
4.74,1.31,3.18
4.76,1.325,3.18
4.78,1.3,3.18
4.8,1.305,3.18
4.82,1.3,3.18
4.84,1.305,3.18
4.86,1.305,3.18
4.88,1.305,3.18
4.9,1.305,3.18
4.92,1.305,3.18
4.94,1.305,3.18
4.96,1.31,3.18
4.98,1.305,3.18
5,1.305,3.18
5.02,1.305,3.18
5.04,1.305,3.18
5.06,1.305,3.18
5.08,1.31,3.18
5.1,1.305,3.18
5.12,1.305,3.18
5.14,1.305,3.18
5.16,1.305,3.18
5.18,1.305,3.18
5.2,1.305,3.18
5.22,1.305,3.18
5.24,1.3,3.18
5.26,1.305,3.18
5.28,1.305,3.18
5.3,1.305,3.18
5.32,1.305,3.18
5.34,1.305,3.18
5.36,1.305,3.18
5.38,1.31,3.18
5.4,1.3,3.18
5.42,1.3,3.18
5.44,1.3,3.18
5.46,1.3,3.18
5.48,1.3,3.18
5.5,1.3,3.18
5.52,1.3,3.18
5.54,1.3,3.18
5.56,1.3,3.18
5.58,1.3,3.18
5.6,1.3,3.18
5.62,1.3,3.18
5.64,1.3,3.18
5.66,1.3,3.18
5.68,1.3,3.18
5.7,1.3,3.18
5.72,1.3,3.18
5.74,1.3,3.18
5.76,1.3,3.18
5.78,1.3,3.18
5.8,1.3,3.18
5.82,1.3,3.18
5.84,1.3,3.18
5.86,1.3,3.18
5.88,1.3,3.18
5.9,1.3,3.18
5.92,1.3,3.18
5.94,1.295,3.18
5.96,1.3,3.18
5.98,1.3,3.18
6,1.3,3.18
6.02,1.3,3.18
6.04,1.3,3.18
6.06,1.3,3.18
6.08,1.295,3.18
6.1,1.3,3.18
6.12,1.3,3.18
6.14,1.295,3.18
6.16,1.3,3.18
6.18,1.3,3.18
6.2,1.3,3.18
6.22,1.295,3.18
6.24,1.3,3.18
6.26,1.3,3.18
6.28,1.3,3.18
6.3,1.3,3.18
6.32,1.295,3.18
6.34,1.3,3.18
6.36,1.295,3.18
6.38,1.3,3.18
6.4,1.3,3.18
6.42,1.3,3.18
6.44,1.3,3.18
6.46,1.295,3.18
6.48,1.295,3.18
6.5,1.3,3.18
6.52,1.3,3.18
6.54,1.3,3.18
6.56,1.3,3.18
6.58,1.3,3.18
6.6,1.3,3.18
6.62,1.3,3.18
6.64,1.3,3.18
6.66,1.295,3.18
6.68,1.3,3.18
6.7,1.3,3.18
6.72,1.3,3.18
6.74,1.3,3.18
6.76,1.3,3.18
6.78,1.3,3.18
6.8,1.3,3.18
6.82,1.3,3.18
6.84,1.3,3.18
6.86,1.3,3.18
6.88,1.295,3.18
6.9,1.295,3.18
6.92,1.3,3.18
6.94,1.295,3.18
6.96,1.3,3.18
