Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0.055,0.005
0.02,0.06,0.005
0.04,0.075,0.005
0.06,0.075,0.005
0.08,0.07,0.005
0.1,0.075,0.005
0.12,0.075,0.005
0.14,0.075,0.005
0.16,0.07,0.005
0.18,0.07,0.005
0.2,0.075,0.005
0.22,0.075,0.005
0.24,0.07,0.005
0.26,0.07,0
0.28,0.075,0.005
0.3,0.075,0
0.32,0.07,0.005
0.34,0.07,0.005
0.36,0.075,0.005
0.38,0.07,0.005
0.4,0.07,0.005
0.42,0.07,0
0.44,0.075,0.005
0.46,0.075,0.005
0.48,0.075,0.005
0.5,0.075,0.005
0.52,0.075,0.005
0.54,0.075,0.005
0.56,0.075,0.005
0.58,0.075,0.005
0.6,0.075,0.005
0.62,0.075,0.005
0.64,0.18,0.04
0.66,0.13,0.06
0.68,0.12,0.08
0.7,0.115,0.095
0.72,0.095,0.095
0.74,0.12,0.11
0.76,0.12,0.13
0.78,0.125,0.14
0.8,0.11,0.145
0.82,0.135,0.16
0.84,0.155,0.175
0.86,0.145,0.18
0.88,0.155,0.195
0.9,0.185,0.21
0.92,0.19,0.22
0.94,0.19,0.23
0.96,0.24,0.255
0.98,0.265,0.27
1,0.285,0.29
1.02,0.325,0.305
1.04,0.32,0.32
1.06,0.35,0.335
1.08,0.34,0.35
1.1,0.315,0.365
1.12,0.285,0.375
1.14,0.29,0.39
1.16,0.3,0.405
1.18,0.25,0.415
1.2,0.26,0.435
1.22,0.22,0.445
1.24,0.24,0.47
1.26,0.25,0.485
1.28,0.215,0.495
1.3,0.205,0.505
1.32,0.265,0.54
1.34,0.21,0.55
1.36,0.27,0.58
1.38,0.3,0.61
1.4,0.34,0.635
1.42,0.44,0.665
1.44,0.475,0.68
1.46,0.555,0.695
1.48,0.6,0.71
1.5,0.68,0.725
1.52,0.755,0.74
1.54,0.835,0.755
1.56,0.895,0.77
1.58,0.935,0.785
1.6,0.95,0.8
1.62,0.89,0.81
1.64,0.81,0.825
1.66,0.75,0.825
1.68,0.73,0.825
1.7,0.73,0.825
1.72,0.68,0.84
1.74,0.545,0.86
1.76,0.44,0.89
1.78,0.32,0.915
1.8,0.26,0.93
1.82,0.235,0.955
1.84,0.235,0.975
1.86,0.23,1.005
1.88,0.29,1.045
1.9,0.315,1.06
1.92,0.37,1.075
1.94,0.37,1.08
1.96,0.44,1.095
1.98,0.57,1.12
2,0.645,1.135
2.02,0.685,1.14
2.04,0.795,1.155
2.06,0.905,1.17
2.08,1.045,1.185
2.1,1.305,1.22
2.12,1.515,1.245
2.14,1.645,1.27
2.16,1.6,1.285
2.18,1.33,1.305
2.2,0.895,1.345
2.22,0.535,1.39
2.24,0.355,1.425
2.26,0.225,1.44
2.28,0.22,1.47
2.3,0.23,1.49
2.32,0.255,1.505
2.34,0.3,1.52
2.36,0.435,1.55
2.38,0.525,1.565
2.4,0.675,1.585
2.42,0.705,1.59
2.44,0.765,1.595
2.46,0.84,1.605
2.48,0.985,1.62
2.5,1.135,1.635
2.52,1.49,1.67
2.54,1.65,1.68
2.56,1.835,1.695
2.58,2.12,1.715
2.6,2.215,1.725
2.62,2.34,1.755
2.64,2.115,1.785
2.66,1.7,1.815
2.68,1.02,1.845
2.7,0.715,1.88
2.72,0.415,1.9
2.74,0.315,1.92
2.76,0.285,1.945
2.78,0.235,1.955
2.8,0.27,1.97
2.82,0.345,2
2.84,0.45,2.02
2.86,0.52,2.025
2.88,0.56,2.035
2.9,0.715,2.055
2.92,0.81,2.065
2.94,1.105,2.095
2.96,1.435,2.12
2.98,1.68,2.135
3,1.91,2.15
3.02,2.105,2.165
3.04,2.39,2.185
3.06,2.555,2.19
3.08,2.77,2.21
3.1,2.94,2.225
3.12,2.96,2.235
3.14,2.95,2.245
3.16,2.74,2.275
3.18,2.145,2.295
3.2,1.615,2.325
3.22,1.165,2.35
3.24,0.74,2.39
3.26,0.48,2.42
3.28,0.34,2.435
3.3,0.38,2.47
3.32,0.455,2.495
3.34,0.575,2.515
3.36,0.725,2.535
3.38,0.83,2.54
3.4,0.96,2.555
3.42,0.975,2.555
3.44,0.975,2.555
3.46,0.97,2.555
3.48,0.97,2.555
3.5,0.965,2.555
3.52,0.965,2.555
3.54,0.975,2.555
3.56,0.98,2.555
3.58,1.185,2.575
3.6,1.49,2.595
3.62,1.595,2.6
3.64,1.695,2.605
3.66,1.94,2.625
3.68,2.17,2.635
3.7,2.375,2.645
3.72,2.445,2.65
3.74,2.715,2.665
3.76,2.98,2.685
3.78,3.38,2.71
3.8,3.45,2.74
3.82,3.115,2.775
3.84,2.415,2.81
3.86,1.68,2.84
3.88,1.15,2.86
3.9,0.94,2.87
3.92,0.855,2.88
3.94,0.685,2.895
3.96,0.535,2.915
3.98,0.475,2.93
4,0.425,2.94
4.02,0.38,2.94
4.04,0.385,2.94
4.06,0.38,2.94
4.08,0.405,2.945
4.1,0.43,2.965
4.12,0.435,2.97
4.14,0.43,2.97
4.16,0.44,2.975
4.18,0.46,2.98
4.2,0.49,2.985
4.22,0.495,2.985
4.24,0.605,3.005
4.26,0.735,3.02
4.28,1.025,3.045
4.3,1.245,3.06
4.32,1.48,3.075
4.34,1.915,3.105
4.36,2.37,3.125
4.38,2.82,3.15
4.4,3.14,3.16
4.42,3.525,3.185
4.44,3.55,3.185
4.46,3.545,3.185
4.48,3.54,3.18
4.5,3.535,3.185
4.52,3.535,3.18
4.54,3.53,3.185
4.56,3.525,3.185
4.58,3.525,3.185
4.6,3.53,3.18
4.62,3.525,3.185
4.64,3.515,3.18
4.66,3.51,3.185
4.68,3.51,3.18
4.7,3.505,3.185
4.72,3.505,3.18
4.74,3.5,3.185
4.76,3.5,3.18
4.78,3.495,3.185
4.8,3.49,3.18
4.82,3.49,3.185
4.84,3.49,3.185
4.86,3.485,3.185
4.88,3.48,3.185
4.9,3.48,3.185
4.92,3.475,3.185
4.94,3.475,3.18
4.96,3.47,3.185
4.98,3.46,3.18
5,3.46,3.18
5.02,3.455,3.185
5.04,3.455,3.185
5.06,3.45,3.18
5.08,3.45,3.18
5.1,3.445,3.185
5.12,3.445,3.185
5.14,3.44,3.18
5.16,3.44,3.18
5.18,3.435,3.18
5.2,3.435,3.185
5.22,3.435,3.18
5.24,3.435,3.185
5.26,3.435,3.185
5.28,3.43,3.185
5.3,3.43,3.185
5.32,3.43,3.18
5.34,3.43,3.18
5.36,3.43,3.18
5.38,3.425,3.18
5.4,3.425,3.18
5.42,3.425,3.185
5.44,3.425,3.18
5.46,3.42,3.185
5.48,3.42,3.18
5.5,3.42,3.18
5.52,3.42,3.18
5.54,3.415,3.185
5.56,3.415,3.18
5.58,3.415,3.185
5.6,3.415,3.185
5.62,3.41,3.18
5.64,3.41,3.185
5.66,3.41,3.185
5.68,3.405,3.18
5.7,3.405,3.185
5.72,3.405,3.185
5.74,3.405,3.18
5.76,3.4,3.18
5.78,3.395,3.18
5.8,3.4,3.18
5.82,3.405,3.18
5.84,3.4,3.18
5.86,3.4,3.18
5.88,3.4,3.18
5.9,3.4,3.185
5.92,3.4,3.18
5.94,3.4,3.18
5.96,3.395,3.18
5.98,3.395,3.18
6,3.4,3.18
6.02,3.395,3.18
6.04,3.395,3.185
6.06,3.395,3.18
6.08,3.395,3.185
6.1,3.395,3.18
6.12,3.395,3.185
6.14,3.395,3.18
6.16,3.4,3.185
6.18,3.4,3.18
6.2,3.39,3.185
6.22,3.385,3.185
6.24,3.39,3.185
6.26,3.39,3.18
6.28,3.39,3.18
6.3,3.39,3.185
6.32,3.39,3.185
6.34,3.39,3.185
6.36,3.39,3.18
6.38,3.39,3.185
6.4,3.39,3.185
6.42,3.385,3.18
6.44,3.385,3.18
6.46,3.385,3.185
6.48,3.385,3.18
6.5,3.385,3.185
6.52,3.385,3.185
6.54,3.385,3.185
