150,160,170,180,190,200
11.454186052672689,10.636070121164092,10.245440639801762,9.3624981939925913,8.9982824808326107,8.4652779201035369
16.561319639664315,15.685857163623547,15.22956612580241,14.369518494305266,13.900315565651649,13.507121852146684
21.626921136666599,20.704808565903662,20.229418361588436,19.324548000651578,18.851482601735079,18.38946370697003
26.68312462343280,25.767745900660909,25.261211315811416,24.283858241762509,23.78551795771228,23.233422151164795
,30.790185518335413,30.248123823427893,29.282302415689767,28.689969402304179,28.100585900745223
,,,,,
,,,,,
,,,,,
,,,,,
