Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0.02,0.005
0.02,0.015,0.005
0.04,0.015,0
0.06,0.015,0.005
0.08,0.015,0.005
0.1,0.02,0.005
0.12,0.02,0.005
0.14,0.015,0.005
0.16,0.02,0.005
0.18,0.02,0.005
0.2,0.02,0.005
0.22,0.02,0.005
0.24,0.02,0.005
0.26,0.02,0.005
0.28,0.02,0.005
0.3,0.02,0.005
0.32,0.02,0.005
0.34,0.02,0.005
0.36,0.02,0.005
0.38,0.02,0.005
0.4,0.02,0.005
0.42,0.025,0.005
0.44,0.025,0.005
0.46,0.025,0.005
0.48,0.025,0.005
0.5,0.035,0.005
0.52,0.035,0.005
0.54,0.035,0.005
0.56,0.04,0.005
0.58,0.04,0.005
0.6,0.04,0.005
0.62,0.04,0.005
0.64,0.04,0.005
0.66,0.04,0.005
0.68,0.04,0.005
0.7,0.045,0.005
0.72,0.045,0.005
0.74,0.045,0.005
0.76,0.045,0.005
0.78,0.045,0.005
0.8,0.045,0.005
0.82,0.045,0.005
0.84,0.045,0.005
0.86,0.04,0.005
0.88,0.045,0.005
0.9,0.045,0.005
0.92,0.05,0.005
0.94,0.05,0.005
0.96,0.05,0.005
0.98,0.05,0.005
1,0.05,0.005
1.02,0.05,0.005
1.04,0.05,0
1.06,0.05,0.005
1.08,0.05,0.005
1.1,0.05,0.005
1.12,0.05,0.005
1.14,0.05,0.005
1.16,0.05,0.005
1.18,0.05,0.005
1.2,0.05,0.005
1.22,0.035,0.005
1.24,0.04,0.005
1.26,0.04,0.005
1.28,0.035,0.005
1.3,0.06,0.005
1.32,0.045,0.005
1.34,0.04,0.005
1.36,-0.005,0.005
1.38,0.035,0.005
1.4,0.04,0.005
1.42,0.04,0.005
1.44,0.04,0.005
1.46,0.035,0.005
1.48,0.04,0.005
1.5,0.035,0
1.52,0.195,0.045
1.54,0.095,0.065
1.56,0.1,0.09
1.58,0.055,0.095
1.6,0.075,0.105
1.62,0.095,0.13
1.64,0.095,0.155
1.66,0.115,0.185
1.68,0.09,0.195
1.7,0.1,0.23
1.72,0.125,0.24
1.74,0.115,0.255
1.76,0.125,0.275
1.78,0.115,0.29
1.8,0.15,0.31
1.82,0.125,0.325
1.84,0.145,0.345
1.86,0.135,0.36
1.88,0.125,0.375
1.9,0.14,0.395
1.92,0.14,0.41
1.94,0.115,0.415
1.96,0.145,0.44
1.98,0.145,0.46
2,0.15,0.48
2.02,0.13,0.495
2.04,0.115,0.51
2.06,0.16,0.535
2.08,0.125,0.545
2.1,0.105,0.55
2.12,0.13,0.57
2.14,0.185,0.605
2.16,0.18,0.635
2.18,0.175,0.65
2.2,0.175,0.67
2.22,0.165,0.67
2.24,0.17,0.675
2.26,0.18,0.685
2.28,0.19,0.695
2.3,0.19,0.7
2.32,0.25,0.72
2.34,0.23,0.74
2.36,0.23,0.76
2.38,0.205,0.78
2.4,0.175,0.795
2.42,0.155,0.795
2.44,0.16,0.81
2.46,0.14,0.835
2.48,0.145,0.87
2.5,0.135,0.885
2.52,0.11,0.895
2.54,0.11,0.905
2.56,0.11,0.91
2.58,0.125,0.925
2.6,0.155,0.955
2.62,0.15,0.975
2.64,0.115,0.985
2.66,0.145,1.005
2.68,0.18,1.035
2.7,0.18,1.06
2.72,0.185,1.075
2.74,0.225,1.1
2.76,0.29,1.125
2.78,0.32,1.145
2.8,0.36,1.165
2.82,0.395,1.18
2.84,0.415,1.2
2.86,0.395,1.225
2.88,0.37,1.25
2.9,0.285,1.265
2.92,0.24,1.28
2.94,0.24,1.295
2.96,0.225,1.315
2.98,0.225,1.35
3,0.19,1.37
3.02,0.16,1.385
3.04,0.145,1.395
3.06,0.14,1.405
3.08,0.16,1.425
3.1,0.14,1.44
3.12,0.18,1.465
3.14,0.155,1.485
3.16,0.18,1.51
3.18,0.2,1.53
3.2,0.25,1.55
3.22,0.33,1.585
3.24,0.435,1.605
3.26,0.535,1.63
3.28,0.66,1.665
3.3,0.64,1.675
3.32,0.645,1.705
3.34,0.505,1.725
3.36,0.405,1.745
3.38,0.345,1.765
3.4,0.265,1.785
3.42,0.24,1.81
3.44,0.205,1.84
3.46,0.195,1.86
3.48,0.2,1.89
3.5,0.18,1.91
3.52,0.18,1.935
3.54,0.17,1.96
3.56,0.25,1.995
3.58,0.33,2.03
3.6,0.405,2.05
3.62,0.54,2.08
3.64,0.72,2.11
3.66,0.85,2.135
3.68,0.91,2.15
3.7,0.9,2.165
3.72,0.84,2.18
3.74,0.79,2.195
3.76,0.72,2.21
3.78,0.5,2.24
3.8,0.405,2.265
3.82,0.285,2.295
3.84,0.26,2.32
3.86,0.19,2.34
3.88,0.215,2.375
3.9,0.205,2.41
3.92,0.18,2.43
3.94,0.205,2.45
3.96,0.295,2.485
3.98,0.5,2.535
4,0.805,2.58
4.02,1.06,2.61
4.04,1.18,2.645
4.06,1.05,2.67
4.08,0.895,2.695
4.1,0.685,2.71
4.12,0.525,2.74
4.14,0.43,2.75
4.16,0.355,2.775
4.18,0.265,2.795
4.2,0.28,2.82
4.22,0.235,2.855
4.24,0.185,2.875
4.26,0.21,2.905
4.28,0.24,2.935
4.3,0.355,2.975
4.32,0.395,2.985
4.34,0.775,3.04
4.36,1.005,3.065
4.38,1.34,3.11
4.4,1.33,3.165
4.42,0.97,3.185
4.44,0.92,3.185
4.46,0.91,3.185
4.48,0.91,3.185
4.5,0.905,3.185
4.52,0.905,3.185
4.54,0.905,3.185
4.56,0.9,3.185
4.58,0.9,3.185
4.6,0.895,3.185
4.62,0.895,3.185
4.64,0.895,3.185
4.66,0.9,3.185
4.68,0.895,3.185
4.7,0.895,3.185
4.72,0.895,3.18
4.74,0.89,3.18
4.76,0.89,3.18
4.78,0.89,3.185
4.8,0.89,3.185
4.82,0.885,3.185
4.84,0.88,3.185
4.86,0.88,3.185
4.88,0.89,3.185
4.9,0.885,3.18
4.92,0.885,3.18
4.94,0.88,3.185
4.96,0.88,3.185
4.98,0.88,3.185
5,0.88,3.185
5.02,0.88,3.185
5.04,0.88,3.185
5.06,0.88,3.185
5.08,0.88,3.185
5.1,0.87,3.185
5.12,0.865,3.18
5.14,0.87,3.185
5.16,0.845,3.185
5.18,0.885,3.18
5.2,0.87,3.18
5.22,0.785,3.185
5.24,0.855,3.18
5.26,0.845,3.185
5.28,0.85,3.185
5.3,0.85,3.185
5.32,0.85,3.185
5.34,0.845,3.18
5.36,0.845,3.185
5.38,0.845,3.18
5.4,0.84,3.185
5.42,0.845,3.185
