Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0.11,0.75
0.02,0.105,0.74
0.04,0.105,0.745
0.06,0.105,0.745
0.08,0.11,0.745
0.1,0.105,0.745
0.12,0.105,0.745
0.14,0.105,0.745
0.16,0.105,0.74
0.18,0.105,0.74
0.2,0.11,0.74
0.22,0.105,0.745
0.24,0.105,0.74
0.26,0.105,0.74
0.28,0.115,0.745
0.3,0.155,0.76
0.32,0.24,0.785
0.34,0.285,0.795
0.36,0.36,0.815
0.38,0.495,0.85
0.4,0.575,0.875
0.42,0.535,0.915
0.44,0.35,0.945
0.46,0.195,0.975
0.48,0.075,0.995
0.5,0.045,1.02
0.52,0.02,1.035
0.54,0.01,1.055
0.56,0.02,1.085
0.58,0.045,1.095
0.6,0.255,1.115
0.62,0.85,1.135
0.64,0.28,1.155
0.66,0.09,1.165
0.68,0.175,1.185
0.7,0.005,1.205
0.72,0.32,1.22
0.74,0.49,1.23
0.76,0.64,1.245
0.78,0.725,1.26
0.8,0.76,1.265
0.82,0.865,1.28
0.84,1.01,1.3
0.86,1.145,1.32
0.88,1.345,1.345
0.9,1.39,1.38
0.92,1.05,1.41
0.94,0.705,1.43
0.96,0.55,1.435
0.98,0.465,1.44
1,0.365,1.475
1.02,0.185,1.49
1.04,0.125,1.5
1.06,0.1,1.515
1.08,0.075,1.53
1.1,0.105,1.55
1.12,0.08,1.555
1.14,0.13,1.57
1.16,0.145,1.58
1.18,0.165,1.59
1.2,0.205,1.6
1.22,0.32,1.625
1.24,0.42,1.645
1.26,0.575,1.67
1.28,0.645,1.68
1.3,0.755,1.695
1.32,1.02,1.725
1.34,1.195,1.745
1.36,1.4,1.76
1.38,1.74,1.79
1.4,2,1.81
1.42,2.17,1.835
1.44,2.195,1.84
1.46,2.21,1.87
1.48,1.835,1.895
1.5,1.53,1.9
1.52,1.115,1.93
1.54,0.86,1.945
1.56,0.63,1.96
1.58,0.495,1.98
1.6,0.33,2
1.62,0.275,2.02
1.64,0.225,2.035
1.66,0.28,2.065
1.68,0.435,2.105
1.7,0.635,2.135
1.72,0.795,2.155
1.74,1,2.175
1.76,1.285,2.205
1.78,1.69,2.235
1.8,2.09,2.265
1.82,2.675,2.305
1.84,2.94,2.335
1.86,2.915,2.355
1.88,2.59,2.39
1.9,1.97,2.425
1.92,1.41,2.455
1.94,0.93,2.485
1.96,0.615,2.51
1.98,0.49,2.54
2,0.485,2.56
2.02,0.635,2.595
2.04,0.71,2.61
2.06,0.93,2.64
2.08,1.185,2.665
2.1,1.45,2.685
2.12,1.77,2.705
2.14,2.115,2.725
2.16,2.435,2.745
2.18,2.705,2.76
2.2,3.13,2.79
2.22,3.39,2.81
2.24,3.56,2.835
2.26,3.515,2.855
2.28,3.355,2.88
2.3,2.805,2.91
2.32,2.175,2.945
2.34,1.75,2.965
2.36,1.455,2.975
2.38,1.37,2.985
2.4,1.145,3.015
2.42,0.955,3.05
2.44,0.84,3.06
2.46,0.9,3.085
2.48,1.015,3.11
2.5,1.155,3.13
2.52,1.365,3.15
2.54,1.73,3.185
2.56,1.825,3.185
2.58,1.83,3.185
2.6,1.83,3.185
2.62,1.825,3.185
2.64,1.825,3.185
2.66,1.825,3.185
2.68,1.825,3.185
2.7,1.825,3.185
2.72,1.82,3.185
2.74,1.82,3.185
2.76,1.82,3.185
2.78,1.82,3.185
2.8,1.815,3.185
2.82,1.82,3.185
2.84,1.82,3.185
2.86,1.815,3.185
2.88,1.82,3.185
2.9,1.82,3.185
2.92,1.815,3.185
2.94,1.815,3.185
2.96,1.815,3.185
2.98,1.815,3.185
3,1.815,3.185
3.02,1.815,3.185
3.04,1.815,3.185
3.06,1.815,3.185
3.08,1.815,3.185
3.1,1.81,3.185
3.12,1.81,3.185
3.14,1.815,3.185
3.16,1.815,3.185
3.18,1.81,3.185
3.2,1.81,3.185
3.22,1.81,3.185
3.24,1.815,3.185
3.26,1.81,3.185
3.28,1.81,3.185
3.3,1.81,3.185
3.32,1.81,3.185
3.34,1.81,3.185
3.36,1.81,3.185
3.38,1.815,3.185
3.4,1.815,3.185
3.42,1.81,3.185
3.44,1.81,3.185
3.46,1.81,3.185
3.48,1.81,3.185
3.5,1.81,3.185
3.52,1.815,3.185
3.54,1.81,3.185
3.56,1.81,3.185
3.58,1.81,3.185
3.6,1.815,3.185
3.62,1.815,3.185
3.64,1.815,3.185
3.66,1.815,3.185
3.68,1.805,3.185
3.7,1.82,3.185
3.72,1.495,3.15
3.74,1.125,3.12
3.76,1.05,3.115
3.78,0.88,3.09
3.8,0.78,3.065
3.82,0.76,3.04
3.84,0.825,3.045
3.86,0.845,3.045
3.88,0.87,3.045
3.9,0.9,3.045
3.92,1.41,3.045
3.94,0.72,3.045
3.96,0.52,3.045
3.98,0.63,3.045
4,0.84,3.045
4.02,0.81,3.045
4.04,0.805,3.045
4.06,0.805,3.045
