Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.045,0.005
0.02,-0.045,0.005
0.04,-0.045,0.005
0.06,-0.045,0.005
0.08,-0.045,0.005
0.1,-0.045,0.005
0.12,-0.055,0.005
0.14,-0.05,0.005
0.16,-0.05,0.005
0.18,-0.045,0.005
0.2,-0.045,0.005
0.22,-0.045,0.005
0.24,-0.045,0.005
0.26,-0.05,0
0.28,-0.05,0.005
0.3,-0.045,0
0.32,-0.05,0.005
0.34,-0.05,0.005
0.36,-0.045,0.005
0.38,-0.05,0.005
0.4,-0.05,0.005
0.42,-0.05,0.005
0.44,-0.05,0.005
0.46,-0.05,0.005
0.48,-0.05,0.005
0.5,-0.05,0.005
0.52,-0.05,0.005
0.54,-0.05,0
0.56,-0.05,0.005
0.58,-0.05,0.005
0.6,0.03,0.045
0.62,-0.01,0.075
0.64,-0.025,0.095
0.66,-0.015,0.11
0.68,-0.005,0.14
0.7,0.005,0.17
0.72,-0.01,0.185
0.74,0.005,0.205
0.76,-0.005,0.225
0.78,-0.005,0.235
0.8,0.01,0.26
0.82,0.025,0.285
0.84,0.03,0.315
0.86,0.04,0.345
0.88,0.005,0.36
0.9,0.005,0.375
0.92,0.01,0.395
0.94,0.01,0.41
0.96,0.04,0.445
0.98,0.025,0.465
1,0.02,0.49
1.02,0.01,0.505
1.04,0.055,0.535
1.06,0.01,0.54
1.08,0.01,0.55
1.1,0.01,0.565
1.12,0.025,0.585
1.14,0.04,0.61
1.16,0.035,0.63
1.18,-0.015,0.64
1.2,-0.05,0.66
1.22,0.18,0.675
1.24,0.185,0.695
1.26,0.2,0.715
1.28,0.195,0.735
1.3,0.155,0.755
1.32,0.15,0.785
1.34,0.11,0.805
1.36,0.06,0.825
1.38,0.045,0.84
1.4,0.01,0.855
1.42,0.015,0.865
1.44,0.01,0.885
1.46,0.025,0.915
1.48,0.005,0.925
1.5,0.025,0.95
1.52,0.035,0.97
1.54,0.065,0.99
1.56,0.06,1.005
