Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0.05,0
0.05,-0.035,0.005
0.1,0.045,0.005
0.15,-0.03,0.005
0.2,0.045,0.005
0.25,-0.03,0.005
0.3,0.04,0.005
0.35,-0.025,0.005
0.4,0.035,0
0.45,-0.025,0.005
0.5,0.035,0
0.55,-0.02,0.005
0.6,0.03,0
0.65,-0.015,0.005
0.7,0.025,0.005
0.75,-0.015,0.005
0.8,0.02,0.005
0.85,-0.01,0.005
0.9,0.02,0.005
0.95,0,0.005
1,0.015,0.005
1.05,0.005,0.005
1.1,0.01,0.005
1.15,0.005,0.005
1.2,0.005,0.005
1.25,0.005,0.005
1.3,-0.005,0.005
1.35,0.01,0.005
1.4,-0.01,0
1.45,0.015,0.005
1.5,-0.01,0.005
1.55,0.015,0.005
1.6,-0.015,0.005
1.65,0.02,0.005
1.7,-0.015,0
1.75,0.06,0.065
1.8,-0.01,0.085
1.85,0.09,0.12
1.9,0.01,0.155
1.95,0.055,0.175
2,-0.005,0.185
2.05,0.11,0.225
2.1,0.045,0.245
2.15,0.145,0.265
2.2,0.12,0.3
2.25,0.275,0.32
2.3,0.27,0.35
2.35,0.48,0.375
2.4,0.48,0.4
2.45,0.585,0.415
2.5,0.225,0.465
2.55,0.225,0.485
2.6,0.03,0.505
2.65,0.17,0.54
2.7,-0.01,0.55
2.75,0.125,0.565
2.8,0.055,0.605
2.85,0.395,0.65
2.9,0.39,0.68
2.95,0.945,0.72
3,1.05,0.745
3.05,1.51,0.765
3.1,1.745,0.79
3.15,2.41,0.815
3.2,2.46,0.825
3.25,3.38,0.865
3.3,3.455,0.89
3.35,3.435,0.91
3.4,2.925,0.92
3.45,3.045,0.92
3.5,1.415,0.965
3.55,0.82,1
3.6,0.285,1.04
3.65,0.435,1.065
3.7,0.295,1.075
3.75,0.68,1.11
3.8,0.66,1.125
3.85,1.485,1.165
3.9,1.94,1.195
3.95,2.66,1.215
4,3.6,1.26
4.05,5.065,1.295
4.1,5.875,1.32
4.15,7.355,1.355
4.2,7.2,1.4
4.25,5.485,1.43
4.3,3.405,1.475
4.35,1.99,1.5
4.4,1.225,1.52
4.45,1.115,1.555
4.5,0.965,1.58
4.55,1.3,1.595
4.6,1.475,1.62
4.65,2.79,1.67
4.7,3.37,1.69
4.75,4.6,1.72
4.8,4.81,1.725
4.85,5.9,1.745
4.9,7.285,1.78
4.95,9.065,1.805
5,10.24,1.85
5.05,10.24,1.895
5.1,10.05,1.91
5.15,8.71,1.94
5.2,6.44,1.965
5.25,5,1.99
5.3,3.765,2.015
5.35,2.75,2.05
5.4,2.43,2.085
5.45,2.95,2.125
5.5,3.565,2.145
5.55,4.64,2.18
5.6,5.52,2.2
5.65,6.82,2.225
5.7,7.89,2.245
5.75,10.14,2.28
5.8,10.24,2.29
5.85,10.24,2.325
5.9,10.24,2.335
5.95,10.24,2.355
6,10.24,2.4
6.05,10.24,2.43
6.1,10.24,2.465
6.15,8.56,2.495
6.2,6.255,2.535
6.25,5.745,2.55
6.3,5.175,2.58
6.35,5.22,2.615
6.4,6.185,2.665
6.45,8.015,2.71
6.5,9.41,2.73
6.55,10.23,2.745
6.6,10.24,2.775
6.65,10.24,2.8
6.7,10.24,2.83
6.75,10.24,2.875
6.8,10.24,2.915
6.85,10.24,2.945
6.9,10.24,2.98
6.95,10.24,2.985
7,10.24,3.035
7.05,10.24,3.06
7.1,10.24,3.06
7.15,10.075,3.08
7.2,9.82,3.095
7.25,9.73,3.125
7.3,10.24,3.18
7.35,10.24,3.185
7.4,10.24,3.185
7.45,10.24,3.185
7.5,10.24,3.185
7.55,10.24,3.185
7.6,10.24,3.18
7.65,10.24,3.18
7.7,10.24,3.18
7.75,10.24,3.18
7.8,10.24,3.18
7.85,10.24,3.185
7.9,10.24,3.18
7.95,10.24,3.18
8,10.24,3.185
8.05,10.24,3.18
8.1,10.24,3.18
8.15,10.24,3.18
8.2,10.24,3.18
8.25,10.24,3.18
8.3,10.24,3.18
8.35,10.24,3.18
8.4,10.24,3.18
8.45,10.24,3.18
8.5,10.24,3.18
8.55,10.24,3.18
8.6,10.24,3.18
8.65,10.24,3.18
8.7,10.24,3.18
8.75,10.24,3.185
8.8,10.24,3.18
8.85,10.24,3.18
8.9,10.24,3.18
8.95,10.24,3.185
9,10.24,3.185
9.05,10.24,3.185
9.1,10.24,3.185
9.15,10.24,3.18
9.2,10.24,3.18
9.25,10.24,3.18
9.3,10.24,3.18
9.35,10.24,3.185
9.4,10.24,3.185
9.45,10.24,3.18
9.5,10.24,3.18
9.55,10.24,3.18
9.6,10.24,3.18
9.65,10.24,3.18
9.7,10.24,3.18
9.75,10.24,3.18
9.8,10.24,3.18
9.85,10.24,3.18
