Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
5.26,3.845,3.18
5.28,3.85,3.185
5.3,3.835,3.185
5.32,3.85,3.185
5.34,3.85,3.185
5.36,3.855,3.185
5.38,3.855,3.18
5.4,3.855,3.185
5.42,3.86,3.18
5.44,3.855,3.185
5.46,3.83,3.185
5.48,3.835,3.18
5.5,3.78,3.185
5.52,3.855,3.185
5.54,3.855,3.18
5.56,3.86,3.18
5.58,3.86,3.18
5.6,3.86,3.18
5.62,3.86,3.18
5.64,3.86,3.18
5.66,3.865,3.185
5.68,3.86,3.18
5.7,3.865,3.185
5.72,3.865,3.18
