Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,0,0.005
0.02,0,0.005
0.04,0.005,0.005
0.06,0,0.005
0.08,0,0.005
0.1,0.005,0.005
0.12,0.005,0.005
0.14,0.005,0.005
0.16,0.005,0.005
0.18,0.005,0.005
0.2,0.005,0.005
0.22,0.005,0.005
0.24,0.005,0.005
0.26,0.005,0.005
0.28,0.005,0.005
0.3,0.005,0.005
0.32,0.005,0.005
0.34,0.005,0.005
0.36,0.005,0.005
0.38,0.01,0.005
0.4,0.01,0.005
0.42,0.01,0.005
0.44,0.005,0.005
0.46,0.005,0.005
0.48,0.01,0.005
0.5,0.005,0
0.52,0.125,0.055
0.54,0.065,0.075
0.56,0.045,0.085
0.58,0.025,0.095
0.6,0.03,0.1
0.62,0.035,0.115
0.64,0.03,0.13
0.66,0.04,0.14
0.68,0.035,0.145
0.7,0.045,0.16
0.72,0.05,0.18
0.74,0.08,0.195
0.76,0.085,0.215
0.78,0.055,0.225
0.8,0.045,0.23
0.82,0.055,0.24
0.84,0.065,0.255
0.86,0.085,0.275
0.88,0.07,0.285
0.9,0.09,0.3
0.92,0.09,0.315
0.94,0.09,0.325
0.96,0.1,0.34
0.98,0.085,0.35
1,0.09,0.365
1.02,0.075,0.375
1.04,0.08,0.38
1.06,0.065,0.395
1.08,0.075,0.41
1.1,0.09,0.435
1.12,0.01,0.445
1.14,0.03,0.455
1.16,0.025,0.46
1.18,0.14,0.475
1.2,-0.05,0.485
1.22,0.1,0.49
1.24,0.07,0.5
1.26,0.065,0.51
1.28,0.065,0.52
1.3,0.07,0.545
1.32,0.07,0.55
1.34,0.075,0.555
1.36,0.07,0.565
1.38,0.11,0.585
1.4,0.125,0.605
1.42,0.155,0.63
1.44,0.17,0.65
1.46,0.17,0.665
1.48,0.205,0.68
1.5,0.23,0.695
1.52,0.235,0.705
1.54,0.29,0.73
1.56,0.31,0.745
1.58,0.31,0.755
1.6,0.31,0.77
1.62,0.305,0.78
1.64,0.28,0.78
1.66,0.27,0.79
1.68,0.255,0.8
1.7,0.225,0.805
1.72,0.225,0.81
1.74,0.23,0.82
1.76,0.19,0.825
1.78,0.185,0.83
1.8,0.175,0.84
1.82,0.155,0.85
1.84,0.14,0.855
1.86,0.135,0.865
1.88,0.13,0.865
1.9,0.125,0.865
1.92,0.125,0.865
1.94,0.14,0.87
1.96,0.135,0.875
1.98,0.145,0.895
2,0.12,0.91
2.02,0.1,0.915
2.04,0.1,0.92
2.06,0.105,0.925
2.08,0.14,0.94
2.1,0.105,0.95
2.12,0.105,0.96
2.14,0.12,0.98
2.16,0.125,0.995
2.18,0.115,1.005
2.2,0.16,1.03
2.22,0.17,1.045
2.24,0.26,1.07
2.26,0.27,1.09
2.28,0.405,1.115
2.3,0.39,1.13
2.32,-0.1,1.15
2.34,0.425,1.165
2.36,1.025,1.18
2.38,0.95,1.215
2.4,0.79,1.23
2.42,0.745,1.255
2.44,0.62,1.27
2.46,0.51,1.285
